headword,pos,supplement,entry,meaning,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,everyday,"毎日の,日々の  / (日曜日などに対して)平日の  / 日常の,ありふれた・（つづりに注意：一語です・everyとdayが離れずにくっついています）",/ˈɛvriˌdeɪ/,14577,I have an everyday routine.,私は毎日の決まったルーチンを持っている。,1624192
,,,evolution,"〈U〉(徐々の)発展,進展,展開  / 〈U〉(生物の)進化;進化論  / 〈C〉(ダンス・体操などの)旋回[動作]",/ˌiː.vəˈluː.ʃən/,14598,Evolution is a gradual development.,進化は徐々の発展です。,2998298
,,,exceed,"〈…の限度・範囲など〉‘を'越える,超過する  / (…の点で)…‘に'まさる,‘を'しのぐ《+名+in+名(doing)》  / (…の)度を越える《+in+名(doing)》  / (…に)すぐれる,卓越する《+in+名(doing)》",/ɪkˈsiːd/,14643,The number of attendees exceeded our expectations.,参加者の数は私たちの予想を超えました。,2998311
,,,experience,"...を経験する, ...を体験する",/ɪkˈspɪəriəns/,14820,She often experiences melancholia during the winter months.,彼女は冬の間によく憂うつ病になります。,1652055
,,,extensive,"広い / 広範囲の, 多方面にわたる / 大規模な",/ɪkˈstɛnsɪv/,14903,The hotel has extensive facilities for guests to enjoy.,ホテルには広範な施設があり、ゲストが楽しむことができます。,2998397
,,,factor,"(…の)要因,(…を生み出す)要素《+in+名(doing)》  / 囲数,約数  / 代理人,《おもに英》仲買人  / =factorize",/'fæktər/,15079,Lack of exercise is a major factor in weight gain.,運動不足は体重増加の主要な要因です。,2998447
,,,hat,(回りに縁のついた)帽子  / …‘に'帽子をかぶせる,/hæt/,19352,I bought a new hat yesterday.,昨日新しい帽子を買いました。,1624412
,,,famous,"有名な,名高い  / 《話;ややまれ》すばらしい,すてきな",/'feɪməs/,15206,He is a famous actor.,彼は有名な俳優です。,1624208
,,,fan,"〈C〉ファン, 熱心な愛好者(支持者)",/fæn/,15208,I am a big fan of basketball.,私はバスケットボールの大ファンです。,2998482
,,,able,"《 be ~ to do》《...することが》できる / 有能な, 腕利きの, 並々ならない",/ˈeɪ.bəl/,115,He was not able to open the box.,彼はその箱を開けることができなかった。,38067
,,,fascinate,を魅了する / (恐怖などで)…を動けなくする,/fæsɪˈneɪt/,15281,The magician's tricks never fail to fascinate the audience.,魔術師のトリックは常に観客を魅了する。,2998501
,,,accuse,"《...の罪で》 ...を訴える, を告発する 《... of ...》 / 《...であると》 ...を非難する 《... of ...》",/əˈkjuːz/,336,He was accused of stealing the necklace.,彼はネックレスを盗んだと告発されました。,2995700
,,,achieve,"（目標・成功などを）達成する,（能力・技術などを）身につける,（勝利・名声などを）獲得する,勝ち取る",/əˈtʃiːv/,358,She achieved her dream of becoming a famous actress.,彼女は有名な女優になる夢を実現した。,1627482
,,,address,"〈C〉あて名,住所 / 〈C〉演説, (口頭・文書による)あいさつの言葉([[speech]]) / 《文》〈U〉話しぶり,応対のしかた / 〈U〉(物事を扱う)手ぎわのよさ,如才なさ / 《複数形で》くどき,求愛,求婚",/əˈdrɛs/,496,Please write your address on the envelope.,封筒にあなたの住所を書いてください。,2995762
,,,festival,"〈C〉〈U〉祭り,祝い,祭典  / 〈C〉祭日,祝日  / 《しばしばF-》(映画・音楽などの)…祭",/fɛs.tɪ.vəl/,15537,The town holds a festival every year.,町は毎年祭りを開催しています。,1624215
,,,finally,"最後に([[at the end]])  / 最終的に,決定的に([[decisively]])  / ついに,とうとう([[at last]])",/fˈaɪ.nə.li/,15743,"Finally, after months of hard work, I completed my project.",最後に、数ヶ月間の努力の末、私はプロジェクトを完成させました。,2998629
,,,finance,"〈人・計画など〉‘に'資金を出す,融資する",/fəˈnæns/,15744,A budget deficit must be financed somehow.,赤字は何とか埋め合わせなければならない。,56561
,,,fish,"〈魚〉‘を'とる,釣る,捕まえる;〈小川・湖など〉‘で'魚をとる,漁をする  / 釣りをする,魚をとる,漁をする",/fɪʃ/,15896,They fished the stream for trout.,彼らは川でマスを釣った。,22445
,,,firmly,堅く/ しっかりと / 確固として,/ˈfɜːrmli/,15863,She firmly believes in her abilities.,彼女は自分の能力を堅く信じています。,2998664
,,,advance,"を前進させる, を進める / 《...に向かって》 前進する 《on, upon, toward ...》",/ədˈvæns/,609,We need to advance our plans for the project.,私たちはプロジェクトの計画を進める必要があります。,2995800
,,,flight,"〈U〉〈C〉《…からの》逃走, 退避, 脱出《from ...》",/flaɪt/,16132,The alternative possibilities were resistance and flight.,可能な選択肢は抵抗か逃亡かの二者択一だった。,114229
,,,allow,"〈他〉〈事〉を許す, 〈人〉に許可を与える / 《したいと思っていたことを》...にさせる, ...にできるようにする《to do》 / 《...のために》...を用意しておく, を見越しておく《for ...》",/əˈlaʊ/,1157,They allow pets in their apartment.,彼らはアパートでペットを飼うことを許しています。,3008877
,,,always,"いつも, 常に / いつまでも, 永久に / 《話》 いずれにしても, 必要なら",/ˈɔːlweɪz/,1251,I always drink coffee in the morning.,私はいつも朝にコーヒーを飲みます。,2995998
,,,amaze,"〈他〉をひどくびっくりさせる, をとても驚かす, を仰天させる",/əˈmeɪz/,1273,The magician's tricks never fail to amaze the audience.,そのマジシャンのトリックは、観客を必ず驚かせます。,2996002
,,,as,"同じぐらい,同様に / 《比較》...ほど, ...くらい / 《様態・程度》…のように,…と同じように / 《同時》…のときに([[when]]); …の間に,…するうちに, ...しながら([[while]]) / 《話》《原因・理由》…だから,…なので / 《譲歩》《文》…だけれども([[though]])",/æz/,2304,She is as tall as her brother.,彼女は彼女の兄と同じぐらいの背が高いです。,2996258
,,,attach,"《...に》 ...をつける, を取り付ける 《to ...》 / 《...に》 付属する, 所属する 《to ...》",/əˈtætʃ/,2558,Please attach the document to the email.,メールにドキュメントを添付してください。,2996342
,,,aware,知っている / 気づいている,/əˈweər/,2821,I was not aware of the changes until now.,今までその変更に気づかなかった。,2996380
,,,foreign,"外国の;外国からの;外国との  / 《名詞の前にのみ用いて》異質の,外部からの  / 《補語にのみ用いて》(…に)無縁の,(…と)全く異なる《+to+名》",/fɔːrɪn/,16556,She had a foreign accent.,彼女は外国のアクセントをしていた。,1624232
,,,bar,"〈C〉棒 / 《...に対する》障害《to, against ...》 / 酒場",/bɑːr/,3272,This bar is a popular student hangout.,このバーは学生に人気のたまり場です。,135098
,,,forget,"…‘を'忘れる  / …‘を'怠る,‘に'注意を払わない  / …‘を'置き忘れる  / …‘を'気に留めない,無視する  / (…のことを)忘れる《+about+名(doing)》",/fɚˈɡɛt/,16620,I have forgotten my keys.,私は鍵を忘れてしまった。,1624234
,,,framework,"〈C〉(建物などの)骨組み / 《…の》枠組《of ...》 / 《…の》構成, 組織《of ...》",/ˈfreɪm.wɜːrk/,16823,The framework of the building was made of steel.,建物の骨組みは鋼鉄で作られていました。,2998900
,,,be,《補語を伴って》 ...である / 《位置・場所を伴う語句を伴って》 《...に》 ある / 存在する,/biː/,3539,I will be there soon.,すぐにそこに行くよ。,1625201
,,,frequency,"〈U〉しばしば起こること,頻繁  / 〈C〉頻度数,(発生・生現などの)回数  / 〈C〉振動数;周波数",/frɪkwənsi/,16970,The frequency of earthquakes in this region is quite high.,この地域の地震の頻度は非常に高いです。,2998933
,,,functional,"機能上の  / (余分なものが無く)機能的な,実用的な  / (数学で)関数の",/fʌŋkʃənəl/,17210,This software has many functional features.,このソフトウェアには多くの機能的な特徴があります。,2998974
,,,gay,陽気な/同性愛の,/geɪ/,17599,He is a gay and cheerful person.,彼は陽気で明るい人です。,2999067
,,,generation,"〈C〉《the ~》《集合的に》《単数扱い》同時代の人人,[同]世代  / 〈C〉〈U〉(家の)一代  / 〈C〉世代(ある代の出生から次の代の出生までの期間,約30年)  / 〈U〉(電気などの)発生,生成《+of+名》",/d͡ʒɛnəˈreɪʃən/,17670,The generation of today is facing unique challenges.,今日の世代は独特な課題に直面しています。,2999093
,,,generate,"〈電気・熱〉‘を'発生させる,生む;〈文〉‘を'生成する  / 《文》(一般的に)…‘を'起こす,生じる",/dʒɛnəreɪt/,17669,Solar panels generate electricity.,太陽光パネルは電気を発生させます。,2999092
,,,global,世界的な； 全地球的な,/ˈɡloʊbəl/,18015,Internationalization is important for global businesses.,国際化はグローバルビジネスにとって重要です。,3000321
,,,goal,"ゴール,決勝点  / (ゴールに球を入れて得た)得点  / =goalkeeper  / 目標(aim),目的;目的地",/ɡoʊl/,18094,My goal is to become a successful entrepreneur.,私の目標は成功した起業家になることです。,1624256
,,,golf,ゴルフ  / ゴルフをする,/ɡɒlf/,18177,I enjoy playing golf on the weekends.,週末にゴルフを楽しんでいます。,2999207
,,,grammar,"〈U〉文法 / 〈C〉文法書 / 〈U〉(文法的に正しい)言葉遺い, 語法",/ˈɡræmər/,18340,I'm studying English grammar.,私は英語の文法を勉強しています。,1624262
,,,bless,"〈神などが〉《…を》〈人〉に授ける,に恵む《with ...》 / を祝福する",/blɛs/,4386,May God bless you with good health and happiness.,神があなたに健康と幸せを授けてくれますように。,2996804
,,,guest,"(食事・会合・滞在などへの)招待客,賓客・(ホテル・下宿などの)泊まり客,宿泊人,(レストランなどの)  / (ラジオ・テレビなどの番組の)ゲスト,特別出演者",/ɡɛst/,18749,The guests arrived early for the party.,パーティーには客が早く到着した。,1624349
,,,bowl,"【名/C】《複数形あるいは進行形で》球をころがすこと,ボウルズ, ボウリング / (遊戯用の)木球",/bəʊl/,4972,I ate a bowl of soup for lunch.,昼食にスープのボウルを一杯食べました。,3008949
,,,happiness,"幸福,幸運;うれしさ  / (表現・用語・翻訳などの)巧妙,適切",/hæpɪnəs/,19202,Happiness is a choice that we make every day.,幸せとは、私たちが日々選択するものだ。,2999490
,,,but,"《等位接続詞》《先に述べたことに反対・対照する内容の語・句・節を導いて》しかし,だが,けれども / 《前にある否定語と対応して》…でなくて  / …を除いて,以外に([[except]]) /《しばしばthatを伴って》…でなければ,でないと([[unless]])",/bʌt/,5721,"I want to go to the beach, but it's raining outside.",海に行きたいけど、外は雨が降っている。,1625211
,,,heart,"〈C〉心臓;胸  / 〈C〉(感情の中心をなす)心,気持ち  / 〈U〉愛情,同情  / 〈U〉勇気,元気,熱意  / 《the ~》中心,内部,(物事の)本質,核心  / 〈C〉ハート形の物;(カードの)ハートの札",/hɑːrt/,19510,I have a big heart.,私は大きな心を持っている。,1623431
,,,by,"《場時・位置》…のそばに, の近くに / 《期限・期間》…までに,の間に / 《根拠・理由》…によって / …を単位として / 《手段・方法》…で, によって",/baɪ/,5765,The new store is located by the train station.,新しい店は駅の近くに位置しています。,1625221
,,,hence,"それゆえに, 従って / 今から",/hɛns/,19705,"He didn't study for the test, hence he failed.",彼はテストの勉強をしなかった。それゆえに彼は失敗した。,2999639
,,,highly,"高度に, 非常に / 高い位に / 高価に",/ˈhaɪli/,19945,She is highly skilled in playing the piano.,彼女はピアノの演奏に高度な技術を持っています。,2999697
,,,him,"彼を,彼に  / 《話》彼(=he)",/hɪm/,19970,He loves him very much.,彼は彼をとても愛している。,1623440
,,,his,《[[he]]の所有代名詞》彼のもの  / 《of hisの形で》彼の,/hɪz/,20018,This is his book.,これは彼の本です。,3109369
,,,historical,"歴史の,史学の  / 史実の基づく,歴史上の",/hɪˈstɔːrɪkəl/,20030,The historical significance of this event cannot be overstated.,この出来事の歴史的な意義はどれだけ誇張してもしすぎることはありません。,2999727
,,,history,"〈U〉歴史;歴史学  / 〈C〉歴史書  / 〈C〉(人の)経歴,来歴;(物事の)過去,由来  / 〈C〉史劇",/hɪs.tə.ri/,20035,I'm studying the history of the United States.,アメリカの歴史を勉強しています。,1623441
,,,cast,〈他〉を投げる / を投げ捨てる《off》/ 《…に》〈影・光〉を投げ掛ける / 〈目・視線など〉を向ける / 〈票〉を投じる,/kæst/,6553,He cast a vote for the proposition.,彼はその提案に賛成票を投じた。,38117
,,,household,家庭 / 世帯 / 家族,/ˈhaʊsˌhoʊld/,20508,How many people are there in this household?,この家族は何人家族ですか。,134517
,,,husband,"夫  / …‘を'節約する,倹約する",/ˈhʌzbənd/,20692,My husband loves to cook.,私の夫は料理が大好きです。,1623456
,,,identity,"〈U〉同一であること  / 〈C〉〈U〉(人・物の)身元,正体  / 〈C〉独自性,個性",/aɪˈdɛntəti/,20939,He didn't reveal his identity.,彼は身元を明かさなかった。,29310
,,,catch,…を捕らえる / 〈動いている物〉をつかみ取る / 〈列車など〉に間に合う/ 〈伝染性の病気〉にかかる / 《副詞[句]を伴って》引っかかる,/kætʃ/,6622,I catch the ball.,私はボールを捕らえる。,3009301
,,,change,"〈C〉《…の》変化,移り変わり,変遷《of ...》 / 〈C〉《…の》取り替え,交換;乗り換え《of ...》 / 〈U〉釣り銭,小銭",/tʃeɪndʒ/,7013,The change in weather is noticeable.,天気の変化が目立つ。,3009333
,,,import,"(…から)…‘を'輸入する《+名+from+名》  / 《文》'‘を'意味する,‘の'意味を導入する",/ɪmˈpɔːrt/,21227,I need to import some goods from China.,私は中国からいくつかの商品を輸入する必要があります。,3000038
,,,importance,重要性 / 重要度 / 価値,/ɪmˈpɔːrtəns/,21228,Understanding the importance of education is crucial for every individual.,教育の重要性を理解することは、すべての人にとって極めて重要である。,2063068
,,,increase,"(…の)増加,増大;〈C〉増加量(額)《+of(in,on)+名》",/ɪnˈkriːs/,21495,They asked for an increase of salary.,彼らは給料を上げることを要求した。,23093
,,,chase,〈C〉追跡 / 《the ~》狩猟 / 追われるもの,/ʧeɪs/,7115,The dog lay panting after his long chase.,長い間獲物を追いかけたのでその犬は寝そべってあえいでいた。,51078
,,,information,"《単数形で冠詞をつけずに》(…についての)情報,知識《about(on, as to)+名(wh-節・句)》  / 〈U〉案内;〈C〉案内所,案内係",/ˌɪnfərˈmeɪʃən/,21849,The internet provides us with a wealth of information.,インターネットは我々に多くの情報を提供してくれています。,1623465
,,,input,〈U〉(機械・電気などの) 入力  / インプット,/ˈɪnpʊt/,21988,Any input would be appreciated!,どんなインプットでもいただければありがたいです。,111525
,,,international,"国際的な,国家間の,万国の  / 国際関係の  / 国際競技,国際試合  / 国際試合出場者",/ɪntərˈnæʃənəl/,22303,She has an international background.,彼女は国際的なバックグラウンドを持っています。,3000315
,,,check,"〈C〉《...の》 阻止 《to ...》 / (確認のための)照合, 検査 / 小切手",/tʃɛk/,7150,I will do a check to make sure everything is okay.,すべてが正常であることを確認するためにチェックを行います。,1624077
,,,class,"〈C〉(何らかの類似性を持つ)種類 / クラス / 〈U/C〉(クラス単位の)授業, 授業時間 / 〈C〉階級 / 等級",/klæs/,7765,I'm in the same class as my brother.,私は兄と同じクラスにいます。,1624086
,,,itself,"《強意用法》《名詞と同格に用いて》それ自身,それ自体,そのもの  / 《再帰用法》《動詞・前置詞の目的語として》それ自身を(に),それ自体を(に)",/ɪtˈsɛlf/,22705,The book itself is very interesting.,その本自体はとても面白いです。,3000429
,,,joy,"〈U〉(幸福感に満ちた大きな)喜び,うれしさ,歓喜〈C〉喜びの種",/dʒɔɪ/,23063,She couldn't contain her joy when she received the good news.,彼女はその良い知らせを受け取ったとき、喜びを抑えることができなかった。,3000517
,,,kid,《話》〈人〉をからかう / 〈人〉をだます / 人をからかう,/kɪd/,23345,Don't kid yourself.,世間を甘くみるな！,57759
,,,clear,"《...を》...から取り除く《of ...》 / 《…から》〈物〉を取り除く 《from , out of, off ...》 / 明るくなる",/klɪər/,7817,There's a lot of mess to clear up.,片付けなければならないたくさんのゴミがある。,9262
,,,commercial,"商業上の,通商上の,貿易上の  / 営利的な,もうけ主義の;市販用の  / 広告放送の",/kəˈmɜrʃəl/,8513,The commercial sector is experiencing rapid growth.,商業部門は急速な成長を遂げています。,2996992
,,,knife,"ナイフ,小刀;包丁;短刀  / (機械などの)刃",/naɪf/,23507,I used a knife to cut the vegetables.,私は野菜を切るのにナイフを使った。,1623517
,,,knowledge,"《時にa ~》知識,精通,認識,理解  / (…を)知っていること《+that 節》",/'nɑlɪdʒ/,23553,Having knowledge about a wide range of topics is important.,様々なトピックについての知識を持つことは重要です。,3000629
,,,compare,"...を比較する《with, to ...》 / 《...に》をたとえる《to ...》 / 《...と》比較される, 匹敵する《with, to ...》",/kəmˈpɛr/,8626,I will compare the prices of different brands.,私は異なるブランドの価格を比較します。,3009686
,,,competition,〈U〉〈C〉《...との...の》 競争 《with ... for ...》 / 〈C〉試合,/kɒmpɪˈtɪʃ(ə)n/,8653,I participated in a fierce competition and won first place.,私は激しい競争に参加して、一位になりました。,3009699
,,,complaint,"〈U〉《...についての》 不平, 苦情, ぐち 《about ...》 / 〈C〉不平の種 / 病気 / 《...に対する》告訴《against ...》",/kəmˈpleɪnt/,8665,I have a complaint about the service at this restaurant.,このレストランのサービスについてクレームがあります。,3009705
,,,concert,"〈C〉(公開の)演奏会,音楽会  / 〈U〉協調,協力 (動)〈…を〉協調[協定]する.〔+with+(代)名〕 〔…と〕協調[協定]する.",/'kɒnsərt/,8790,I'm going to the concert tomorrow.,明日はコンサートに行くつもりです。,1624125
,,,conclude,"《文》〈演説・論文・会合〉'を'終わりにする,終える  / 〈事柄など〉'を'結論する,〈行動・意見など〉'を'決定する  / 〈条約など〉'を'締結する,結ぶ  / (…で)〈話・文などが〉終わる,結論になる,〈人が〉話を結ぶ《+with+名(doing)》",/kənˈkluːd/,8811,They will conclude the meeting with a final statement.,彼らは最終声明で会議を終わりにする予定です。,3009753
,,,concrete,"具体的な / コンクリート製の / 凝固した, 固体の",/'kɒnkriːt/,8825,The architect drew up detailed plans for the concrete building.,建築家は具体的な建物の詳細な計画を作成しました。,3009757
,,,leadership,"指導者の地位(任務)  / 指導,指揮  / 指導力,統率力  / 《言合的に》指導者たち",/ˈlidərʃɪp/,24087,He demonstrated strong leadership skills in guiding the team towards success.,彼はチームを成功に導くために強力なリーダーシップスキルを示しました。,3000769
,,,lean,"(人・動物が) やせた, 肉の落ちた / (肉などが)脂肪が少ない / 乏しい,貧弱な / (土地などが)やせた",/liːn/,24112,She has a lean figure.,彼女はスリムな体型です。,3000778
,,,leather,"〈U〉(動物の) なめし, 革 / 〈C〉革製品 / （他の名詞をともなって形容詞的に）革製の",/ˈlɛðər/,24136,She bought a new leather jacket.,彼女は新しい革のジャケットを買いました。,3000786
,,,legal,"法律の,法律上  / 法で定められた,法定の  / 合法の",/'li:ɡəl/,24197,It is important to consult a legal professional before signing any contracts.,契約書に署名する前に法律の専門家に相談することが重要です。,3000801
,,,conduct,"〈U〉《文》(人の) 行為, 品行 / 指導
〈人など〉を導く / 〈業務など〉を指導する / 《オーケストラなど》の指揮をする",/'kɒndʌkt/,8865,Such conduct is unworthy of a teacher.,そのような行為は教師にふさわしくない。,149784
,,,confuse,"《...と》 ...を混同する 《with ...》 / (人)を混乱させる, を戸惑わせる / (論点・順序など)を混乱させる",/kənˈfjuːz/,8941,I always confuse the words 'accept' and 'except'.,いつも「accept」と「except」という言葉を混同してしまいます。,1627974
,,,contemporary,同時代の / 現代の（名詞的に使う場合）同年輩の人 / 同時代の人,/kənˈtɛmpəˌrɛri/,9182,Contemporary art often challenges traditional norms and conventions.,現代美術はしばしば伝統的な規範や慣習に挑戦します。,3009847
,,,content,"《形容詞》《...で》満足して, 甘んじて《with ...》",/ˈkɒntɛnt/,9190,I am content with my life.,私は自分の人生に満足しています。,3009850
,,,limitation,"〈C/U〉制限するもの, 制約, 限界 / 〈U〉制限すること（されること）",/lɪmɪˈteɪʃən/,24559,There is a limitation on the number of participants for the event.,イベントの参加者数に制限があります。,3000887
,,,control,を支配する / 〈感情など〉を抑制する,/kənˈtroʊl/,9272,The ignition of the engine is controlled by the computer.,エンジンの点火はコンピュータによって制御されています。,1629866
,,,cope,"〈自〉対処する / 《難局に》対処する, 打ち勝つ 《with ...》",【米】/koʊp/   【英】/kəʊp/,9396,She learned how to cope with stress through meditation.,彼女は瞑想を通じてストレスと上手に付き合う方法を学びました。,3009899
,,,counsel,"【名/U】協議, 相談 / 【名/U/C】助言 / 弁護士団【動/他】に助言する, に忠告する",/'kaʊn.səl/,9695,I sought counsel from a lawyer before making any decisions.,私は決定をする前に弁護士に助言を求めました。,3009934
,,,counter,"〈C〉(商店・銀行などの) 売り台,勘定台 /  (食堂などの)カウンター  /  (おもちゃの)模造貨幣 / 数える人 / 計算器, 計数器 / (ゲームの得点計算用)数取り,点棒",/ˈkaʊntər/,9708,I need to go to the counter to check in for my flight.,フライトのチェックインのためにカウンターに行かなければなりません。,3009940
,,,crack,"〈C〉割れ目, ひび / バン,ガチャッ (物が壊れたり銃声などの音)",/kræk/,9892,I heard a loud crack coming from the tree.,木から大きな割れる音が聞こえた。,2997081
,,,criminal,〈C〉犯罪者、犯人,/'krɪmɪnəl/,10085,He was in reality a criminal.,彼は実は犯罪者だった。,30415
,,,danger,"〈U〉危険, おそれ / 〈C〉《...に対して》 危険を引き起こすもの, 脅威 《to ...》",/dˈeɪn.dʒəɹ/,10713,Beware of the danger lurking in the dark alley.,暗い路地に潜む危険に注意してください。,2997290
,,,dear,"親愛な,かわいい / （手紙の書き出しのあいさつの）親愛なる,尊敬する / 《...にとって》大事な《to》",/dɪər/,10877,His dear mother always supported him.,彼の大切な母はいつも彼を支えていた。,1624150
,,,directly,まっすぐに / 直接に / まさに / すぐに,/dɪˈrɛktli/,11991,Were you directly involved in the incident?,あなたは事件に直接関与していましたか？,1625737
,,,director,"〈C〉指導者 / (会社の)重役, 取締役 / (映画・演劇・テレビ番組などの) 監督",/dɪˈrɛktər/,11992,The director of the company is responsible for making important decisions.,会社の社長は重要な決定をする責任があります。,2997627
,,,literally,文字通りに,/lɪˈtɪrəli/,24713,He took her words literally.,彼は彼女の言葉を文字通りに受け取った。,3000924
,,,dramatically,"劇的に, 非常に効果的に",/drəˈmætɪkli/,12876,The weather changed dramatically overnight.,天気は一晩で劇的に変わりました。,2997858
,,,draw,"〈他〉を引く / 《副詞(句)を伴って》…を引いて(ある状態に)する / 《...から》...を引き抜く《from, out ...》 / 《...から》 〈液体など〉をくみ出す《from ...》 / 〈絵・図〉を線で描く / 〈自〉《副詞(句)を伴って》動く, 近づく / 線で書く",/dɹɔː/,12896,"When the army drew close to the fort,",軍隊が砦にはい進んだ際に,1624170
,,,drive,〈他〉《...へ》〈動物・敵など〉を追い立てる《to ...》 / 《…から》…を押しやる《out of ...》 /  〈車・馬車〉を運転する,/ˈdɹaɪv/,12983,I'm going to drive to the store,車で店まで行きます,1624172
,,,edit,"〈他〉を編集する / 〈原稿など〉を校訂する, 〈本など〉を監修する / 《...から》〈文章など〉を削除する《out of ...》",/ˈɛdɪt/,13436,I need to edit my essay before submitting it.,提出する前にエッセイを編集する必要があります。,1639064
,,,efficient,"能率的な, 効率のいい / 有能な",/ɪˈfɪʃənt/,13482,This new software is very efficient.,この新しいソフトウェアは非常に能率的です。,2998037
,,,enable,《 ~ A to do》 《Aが...することを》可能にする / 《かたく》 を可能にする,/ɪˈneɪbəl/,13890,The scholarship enabled her to study abroad.,奨学金のおかげで彼女は留学した。,61432
,,,lucky,"幸運の,運のよい  / 幸運をもたらす",/'lʌki/,25215,He was lucky to be alive.,彼は生きていて幸運だった。,1623541
,,,essential,"絶対必要な, 不可欠な / 本質の, 本質的な",/ɪˈsɛnʃəl/,14391,Water is essential for life.,水は生命にとって不可欠です。,2998248
,,,even,平らな；同じ高さの；同じの；偶数の,/ˈiːvən/,14544,The chances are even.,勝負の見込みは五分五分。,61500
,,,everything,"《単数扱い》  / なんでも,何もかも,万事  / 《補語にのみ用いて》何よりも大切なもの /  / Everything is OK now. / もう大丈夫です。 / Is everything OK? / いろいろと大丈夫ですか？ / Everything will be OK. / すべてうまくいきますよ。",/ˈɛvriˌθɪŋ/,14580,Everything will be alright.,全てはうまくいくよ。,1624194
,,,existence,"〈U〉《...の》存在, 実在《of ...》 / 生存 / 〈C〉生活, 暮らし",/ɪɡ'zɪstəns/,14758,The existence of aliens has been a topic of debate for many years.,エイリアンの存在は長年の議論のテーマとなっています。,2998351
,,,expansion,"〈U〉拡大, 拡張 / 〈C〉拡大されたもの / 〈U/C〉(数字で)展開式",/ɪkˈspænʃən/,14793,The expansion of the company into new markets has been successful.,企業の新たな市場への拡大は成功しています。,1628110
,,,lunch,"〈U〉昼食  / 〈C〉〈U〉  / 軽食,弁当",/lʌntʃ/,25267,Let's go out for lunch.,お昼に外で食べに行こう！,1623542
,,,exposure,【名/U】《...に》さらすこと / さらされること《to ...》 / 陳列【名/C】向き / 露出された部分,/ɪkˈspoʊʒər/,14869,Exposure to sunlight can cause skin damage.,日光にさらされると肌にダメージを与えることがあります。,2998392
,,,face,"〈C〉顔,表情 / 表面 / 様子 / 〈U〉面目",/feɪs/,15049,The face of the mountain was covered with snow.,山の面が雪で覆われていた。,1624203
,,,fall,"落下する / 〈人・物が〉倒れる《down, over》 / 〈程度・数量・値段などが〉《…まで》下がる《to ...》 / なる, 陥る",/fɔːl/,15158,I love watching the leaves fall in autumn.,私は秋に葉が落ちるのを見るのが好きです。,2998467
,,,figure,"〈C〉数字 / 姿, 形, 形状 / 《修飾語句を伴って》...の人 / 図",/ˈfɪɡjər/,15674,She is a prominent figure in the fashion industry.,彼女はファッション業界で著名な人物です。,2998611
,,,file,〈C〉ファイル / (整理された新聞・書類などの)とじ入み,/faɪl/,15687,I need to open the file.,ファイルを開かなければなりません。,1624219
,,,final,最後の；最終的な；決定的な,/'faɪnl/,15737,This is my final offer.,これが私の最終オファーです。,2998626
,,,find,〈他〉(偶然に) ...を見つける / を見つけ出す / 《今まで知られていない事・物》  が分かる 《out ...》,/faɪnd/,15750,I found the lost key.,私は失くした鍵を見つけた。,1624221
,,,fine,"(物・事が)立派な,みごとな / けっこうな, 満足できる / (人が)優れた, 立派な / (天気が)晴れた / 《補語にのみ用いて》《話》元気な, 健康な ([[well]]) / (人・衣服・態度などが)洗練された, 上品な([[refined]]) / (粒・きめなどの)細かい;細い([[thin]]) / 《名詞の前にのみ用いて》微妙な ([[delicate]]) / (物が)混じりけのない,(金・銀などが)純度…の",/faɪn/,15753,The artwork in the museum is fine.,美術館の作品は立派です。,2998636
,,,finish,"(ことの)最終段階,結末 / (家具などの)表面,表面の仕上げ(手触り), 洗練 / (ニスなど)仕上げの材料 / 死, 滅亡",/'fɪnɪʃ/,15785,"The table had a beautiful finish, with a smooth, glossy surface.",テーブルは美しい仕上げが施されており、滑らかで光沢のある表面を持っていた。,1623151
,,,flag,〈C〉(国家・団体などを象徴する) 旗 /,/flæɡ/,15974,The children waved their flags to show their enthusiasm.,子どもたちは熱意を表すために旗を振った。,1624224
,,,flat,平らな / あからさまな / (料金・価格などが) 均一の / 気の抜けた,/flæt/,16043,It was believed that the earth was flat.,地球は平らだと信じられていた。,51930
,,,fly,"ボタン隠し,ファスナー隠し(服のボタンやファスナーを隠す布) / (野球の)飛球,フライ(=[[fly ball]]) / (テントの入口の)垂れ幕 / 飛行,飛ぶこと",/faɪ/,16301,The designer added a zipper to the fly of the jeans for a modern and sleek look.,デザイナーは、現代的でスマートな見た目のために、ジーンズのボタン隠しにジッパーを追加しました。,1623158
,,,fold,〈紙など〉を折る / 〈両手など〉を組む,/fəʊld/,16383,Please fold the clothes and put them in the drawer.,服を折りたたんで引き出しに入れてください。,2998785
,,,free,(束縛された状態になく)自由な / (国家・国民などが)独立している / (苦痛・制約などを) 免れている / 無料の /,/friː/,16874,The bird flew freely in the sky.,鳥は空の中で自由に飛んでいた。,1624236
,,,go,"行く / 立ち去る / 〈事が〉運ぶ, 進展する / (ある状態に)なる / 《~ 補語》(ある状態の) ままである",/ɡoʊ/,18084,I go to school every day.,私は毎日学校に行きます。,2999182
,,,maker,"〈C〉製作者,作る人,メーカー  / 《複合語を作って》…製造業者,…屋  / 《the M-,our M-》造物主,神(God)",/'meɪkər/,25598,He is a talented maker.,彼は才能ある製作者です。,3001143
